latitude,longitude,population,land_use,dist_river_m,dist_road_m
2.6449999999999987,101.73899999999915,2.031517,1.0,226.96128791037955,73.72736264898212
2.6499999999999986,101.58399999999929,1.2852348,1.0,1633.4978488009158,94.80561147688881
2.6499999999999986,101.58899999999929,1.5114417,8.0,2174.0542611979777,5.689805318726248
2.6499999999999986,101.59399999999928,1.7053844,8.0,2112.8902355217515,109.26489353616812
2.6499999999999986,101.59899999999928,1.1919389,1.0,1615.372760223912,187.77477297977953
2.6499999999999986,101.60399999999927,0.68665224,1.0,1172.4112390450582,147.82120860932713
2.6499999999999986,101.60899999999927,0.43080407,1.0,871.5803644562881,35.41893488160972
2.6499999999999986,101.61399999999927,0.431099,1.0,849.6436700841913,169.74549350020473
2.6499999999999986,101.61899999999926,0.48725235,1.0,292.9014226167508,187.41293541165817
2.6499999999999986,101.62399999999926,0.43510702,1.0,263.7359341632616,275.13708255077574
2.6499999999999986,101.62899999999925,0.3756153,1.0,819.7754919383344,831.7327141077445
2.6499999999999986,101.63399999999925,0.5623206,1.0,1117.910756978553,1110.6174641093519
2.6499999999999986,101.63899999999924,0.60637164,1.0,1168.3647813693983,1052.3241649912054
2.6499999999999986,101.64399999999924,0.59682614,1.0,1449.2627955203338,954.6475751480348
2.6499999999999986,101.64899999999923,1.0306958,1.0,1858.917443720119,860.844164358209
2.6499999999999986,101.65399999999923,1.2357036,7.0,2330.3864390559793,441.1817356036566
2.6499999999999986,101.65899999999922,3.8942993,1.0,2508.122542214277,15.215106565195711
2.6499999999999986,101.66399999999922,2.6330566,1.0,2035.8452256925289,370.6654754478376
2.6499999999999986,101.66899999999922,2.6658986,1.0,1599.0744910808446,17.004616741755864
2.6499999999999986,101.67399999999921,1.838814,1.0,1208.5655641841083,34.87910289630025
2.6499999999999986,101.6789999999992,1.0110141,1.0,663.5381113868528,45.08545709232354
2.6499999999999986,101.6839999999992,0.76093775,1.0,150.40415114567438,510.49368730802513
2.6499999999999986,101.6889999999992,0.7122189,8.0,88.05027777563576,297.8268754454997
2.6499999999999986,101.69399999999919,0.9044261,1.0,465.2566579532777,43.16751695990863
2.6499999999999986,101.69899999999919,1.0128502,1.0,1019.2206618545421,180.90814952500898
2.6499999999999986,101.70399999999918,2.4523313,1.0,1574.2384624640472,97.01117865119166
2.6499999999999986,101.70899999999918,7.2114,7.0,1316.3952463306234,6.576545835285942
2.6499999999999986,101.71399999999917,7.4795003,1.0,951.9278776375178,43.76999279176522
2.6499999999999986,101.71899999999917,4.9489255,3.0,462.50490407680974,101.62172424389549
2.6499999999999986,101.72399999999917,4.744401,7.0,376.15036363133265,131.547509048186
2.6499999999999986,101.72899999999916,3.9482696,3.0,292.1594019311507,44.80402363408959
