population,land_use,dist_river_m,dist_road_m,lon,lat,landuse_score,population_norm,dist_river_norm,dist_road_norm,mcda_score,suitable
45.294746,9.0,463.5902633893775,30.865799417429884,101.67259453939022,3.2255338882125075,0.5,0.0009601147446752778,0.05279698108487961,0.002989058855653661,0.09177294625723095,0
0.4862816,1.0,2582.252186681591,783.752497505182,101.35095014664444,3.3127543906511394,0.8,0.0014075709764004296,0.29417519589261903,0.07590806691668606,0.22392682199286307,1
0.48127285,1.0,1803.7679078829112,197.62065238513597,101.34232377812384,2.8439058972726485,0.8,0.001407620993655656,0.20548282671069612,0.019139694135374304,0.18596545418806315,1
12.09772,3.0,774.8268753444179,0.4658713621343537,101.70711803377124,2.6368962583804088,0.2,0.0012916194359728905,0.08825603047383451,4.4747839734329974e-05,0.05693782551268773,0
10.619707,8.0,526.6650157180077,271.048864289207,101.54454632318136,3.366481227107454,0.1,0.001306378837712674,0.05998305968908983,0.026251404820845977,0.03870243146409558,0
1.013271,1.0,259.624584403396,77.2737969557942,101.39632184281898,3.257136100001119,0.8,0.001402308473115843,0.029559261591067615,0.007483792465891966,0.13085534493608922,1
0.12573358,8.0,3747.759761687901,1333.705592688495,101.58879636541864,3.675890337484815,0.1,0.0014111714001271425,0.4269609578431437,0.12917243495867217,0.16941668433472207,1
7.075618,1.0,220.9659218749349,6.859971231960365,101.4964526708831,2.9698576686396465,0.8,0.0013417700239555241,0.02515489728669824,0.0006640328146649743,0.1281488952573269,1
8.660545,1.0,85.44626968228714,64.44078921050223,101.7456409502488,3.2526741494930174,0.8,0.0013259429816215862,0.009715203318537287,0.0062408827457401984,0.12462681758827678,1
0.04405162,8.0,1618.9543838485852,1565.8565061371144,101.33002920171634,3.639820384279925,0.1,0.001411987074185883,0.18442710375022825,0.15165684645396316,0.10115369589182617,0
0.07918695,8.0,544.4805316338071,1440.9238912582637,101.65671806769048,3.5974738152029486,0.1,0.0014116362136381566,0.062012773528923364,0.13955680221812386,0.06200926517707513,0
90.2864,7.0,36.71268049772924,45.191375255257896,101.74581631105148,3.112209892594646,0.1,0.0005108291860762559,0.004163007081271018,0.004376527624394955,0.017302997864386986,0
